Decimal Year,Value
2006.2712329,-0.61006
2006.290411,-0.652011
2006.309589,-0.613484
2006.3287671,-0.642032
2006.3479452,-0.499313
2006.3671233,-0.33794
2006.3863014,-0.29662
2006.4054795,-0.164575
2006.4246575,-0.273022
2006.4438356,-0.227908
2006.4630137,-0.140378
2006.4821918,-0.015759
2006.5013699,-0.15083
2006.5205479,0.025528
2006.539726,0.234753
2006.5589041,0.301556
2006.5780822,0.455265
2006.5972603,0.444711
2006.6164384,0.431284
2006.6356164,0.49425
2006.6547945,0.637413
2006.6739726,0.72356
2006.6931507,0.678607
2006.7123288,0.638813
2006.7315068,0.580402
2006.7506849,0.654127
2006.769863,0.656228
2006.7890411,0.738651
2006.8082192,0.811174
2006.8273973,0.901957
2006.8849315,0.942233
2006.9041096,0.953125
2006.9232877,0.95806
2006.9424658,0.931587
2006.9616438,0.872408
2006.9808219,0.824221
2007.0,0.662973
2007.0191781,0.517975
2007.0383562,0.459613
2007.0575342,0.419257
2007.0767123,0.322372
2007.0958904,0.392651
2007.1150685,0.268294
2007.1342466,0.134126
2007.1534247,0.023927
2007.1726027,0.027722
2007.1917808,0.000852
2007.2109589,-0.055605
2007.230137,-0.144011
2007.2493151,-0.078184
2007.2684932,-0.073961
2007.2876712,-0.143724
2007.3068493,-0.267213
2007.3260274,-0.262309
2007.3452055,-0.336505
2007.3643836,-0.33002
2007.3835616,-0.309126
2007.4027397,-0.23254
2007.4219178,-0.393152
2007.4410959,-0.406521
2007.460274,-0.357909
2007.4794521,-0.446219
2007.4986301,-0.62617
2007.5178082,-0.527875
2007.5369863,-0.486896
2007.5561644,-0.462503
2007.5753425,-0.439407
2007.5945205,-0.549176
2007.6136986,-0.609533
2007.6328767,-0.684208
2007.6520548,-0.637641
2007.6712329,-0.644469
2007.690411,-0.754895
2007.709589,-0.838026
2007.7287671,-0.881874
2007.7479452,-0.861013
2007.7671233,-0.914505
2007.7863014,-0.905972
2007.8054795,-0.92158
2007.8246575,-1.073387
2007.8438356,-1.198931
2007.8630137,-1.240327
2007.8821918,-1.276491
2007.9013699,-1.245777
2007.9205479,-1.089763
2007.939726,-1.037852
2007.9589041,-1.129445
2007.9780822,-1.274132
2007.9972603,-1.401797
2008.0163934,-1.45792
2008.0355191,-1.450614
2008.0546448,-1.373058
2008.0737705,-1.403823
2008.0928962,-1.352545
